省广佛,#genre#
广东珠江A（电信代理1080P6M）,http://6f155.x3322.net:8001/rtp/239.77.0.1:5146
广东珠江B（触电720P2M）,http://php.jdshipin.com:8880/chudian.php?id=gdzj
广东珠江C（9d源576P2M）,http://113.86.205.10:808/hls/105/index.m3u8
广东珠江D（576P2M）,http://58.17.116.69:9906/tsfile/live/0001_1.m3u8
广东珠江E（576P）,http://218.17.205.210:9901/tsfile/live/1000_1.m3u8
广东珠江F（576P）,https://epg.pw/stream/51b2622bc0ab3fea23acfd8d9b0314a954a98e5e79d4337650f58bee32357425.m3u8
广东珠江G（1080P6M）,http://183.11.239.32:808/hls/83/index.m3u8
广东珠江H（1080P10M）,http://www.22803189.xyz:8001/rtp/239.77.0.114:5146
广东珠江IPV6（25）,http://[2409:8087:7001:20:1000::25]:6610/000000001000/1000000004000011655/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=3&HlsProfileId=
广东珠江IPV6（96）,http://[2409:8087:7001:20:1000::96]:6610/000000001000/1000000004000011655/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=3&HlsProfileId=
广州综合C（腾讯）,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=48f6c06c32931ed1c2376b21ce91640c&txTime=18d1f31b604
广州新闻B（腾讯）,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=18239546a49b0341aea040cc8023fd63&txTime=18d1f31b605
广州竞赛B（腾讯）,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=ba009db31fe18376cc40fb8dbbcaae93&txTime=18d1f31b605
广州影视C（腾讯）,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=22d96e9d18300b3d335a1ff085b1aa80&txTime=18d1f31b605
广州法治B（腾讯）,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=b8c410b7cac7c8655c86dde99d2fa926&txTime=18d1f31b605
广州南国都市C（腾讯）,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=97b6afb13ea8ad993056a9bb796d59d4&txTime=18d1f31b605
广州番禺台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
广州增城台,http://pl1.cloud.dayang.com.cn/live/10062_E5i2s6.m3u8
香港,#genre#
无线新闻A（1080P3M50FPS）,http://live.cooltv.top/tv/tvb.php?id=0&hq
无线新闻B（720P1M）,http://live.cooltv.top/tv/tvb.php?id=0
无线新闻C,https://epg.pw/stream/c4ed6ad793bc69002f22845063b4b073c5aff6ded2f6cd72c47a6c890de4ad45.ctv
翡翠台（广电版）,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
凤凰香江ipv6,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
凤凰中文ipv6,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯ipv6,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
广东9d源,#genre#
广东新闻,http://113.86.205.10:808/hls/106/index.m3u8
广东经济科教,http://113.86.205.10:808/hls/129/index.m3u8
广东体育,http://113.86.205.10:808/hls/108/index.m3u8
广东影视,http://113.86.205.10:808/hls/110/index.m3u8
广东少儿,http://113.86.205.10:808/hls/111/index.m3u8
岭南戏曲,http://113.86.205.10:808/hls/22/index.m3u8
广东公共,http://113.86.205.10:808/hls/107/index.m3u8
南方卫视,http://113.86.205.10:808/hls/109/index.m3u8
广东卫视,http://113.86.205.10:808/hls/152/index.m3u8
浙江卫视,http://113.86.205.10:808/hls/131/index.m3u8
湛江公共,http://113.86.205.10:808/hls/3/index.m3u8
云浮综合,http://113.86.205.10:808/hls/200/index.m3u8
云浮公共,http://113.86.205.10:808/hls/201/index.m3u8
嘉佳卡通,http://113.86.205.10:808/hls/503/index.m3u8
CCTV-2高清,http://113.86.205.10:808/hls/114/index.m3u8
CCTV-3高清,http://113.86.205.10:808/hls/115/index.m3u8
CCTV-4高清,http://113.86.205.10:808/hls/116/index.m3u8
CCTV-5,http://113.86.205.10:808/hls/58/index.m3u8
CCTV-5+,http://113.86.205.10:808/hls/10/index.m3u8
CCTV-6高清,http://113.86.205.10:808/hls/118/index.m3u8
CCTV-7高清,http://113.86.205.10:808/hls/119/index.m3u8
CCTV-8高清,http://113.86.205.10:808/hls/120/index.m3u8
CCTV-9高清,http://113.86.205.10:808/hls/121/index.m3u8
CCTV-10高清,http://113.86.205.10:808/hls/122/index.m3u8
CCTV-11高清,http://113.86.205.10:808/hls/123/index.m3u8
CCTV-12高清,http://113.86.205.10:808/hls/124/index.m3u8
CCTV-13高清,http://113.86.205.10:808/hls/125/index.m3u8
CCTV-13高清,https://pi.0472.org/tv/fct.php?auth=2309081833
CCTV-13高清,https://pi.0472.org/tv/fct.php?auth=230918
CCTV-14,http://113.86.205.10:808/hls/5/index.m3u8
CCTV-15高清,http://113.86.205.10:808/hls/127/index.m3u8
兵器科技,http://113.86.205.10:808/hls/528/index.m3u8
风云足球,http://113.86.205.10:808/hls/530/index.m3u8
央视台球,http://113.86.205.10:808/hls/531/index.m3u8
地址,thread-8341664-1-1.html
省内其他,#genre#
GRTN文化频道,https://glive.grtn.cn/live/wenhua_test0203.m3u8
GRTN生活频道,http://glive.grtn.cn/live/life.m3u8
GRTN纪录片频道,http://glive.grtn.cn/live/jilupian.m3u8
GRTN健康频道,http://glive.grtn.cn/live/health.m3u8
GRTN荔枝台,http://glive.grtn.cn/live/lizhi.m3u8
深圳都市A,http://livepull-tcyzb.sztv.com.cn/live/dushi01.m3u8
深圳都市B,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel46/index.m3u8
深圳公共,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel52/index.m3u8
深圳电视剧,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel47/index.m3u8
深圳财经生活,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel48/index.m3u8
深圳娱乐,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel49/index.m3u8
深圳体育健康,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel50/index.m3u8
深圳少儿,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel51/index.m3u8
深圳宜和购物,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel42/index.m3u8
深圳东部A,https://lglivepull.sznews.com/live/2646.m3u8
深圳东部B,http://liveplay.sznews.com/66_showto_live/2646.m3u8
深圳龙岗A,https://lglivepull.sznews.com/live/2647.m3u8
深圳龙岗B,http://liveplay.sznews.com/66_showto_live/2647.m3u8
深圳龙岗广播A,https://lglivepull.sznews.com/live/2648.m3u8
深圳龙岗广播B,http://liveplay.sznews.com/66_showto_live/2648.m3u8
深圳蛇口,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel37/index.m3u8
深圳众创A,http://liveplay.sznews.com/66_showto_live/2645.m3u8
深圳众创B,https://lglivepull.sznews.com/live/2645.m3u8
阳江1台B,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/playlist.m3u8
阳江2台B,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/playlist.m3u8
韶关新闻综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
河源综合B,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共B,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
云浮综合,https://livestream.oeeee.com/slive/17806.m3u8
云浮文旅,https://livestream.oeeee.com/slive/17807.m3u8
潮州综合,http://time-vod-qhlive.sobeylive.com/czbtv2019/czzhpd.m3u8
潮州民生,http://time-vod-qhlive.sobeylive.com/czbtv2019/czggpd.m3u8
云南文山新闻综合,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
240131电信,#genre#
广东珠江超清(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.114:5146
广东卫视(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.1.19:5146
广东卫视(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.1.152:5146
广东卫视(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.84:5146
广东卫视超清(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.166:5146
广东新闻(1024x576),http://6f155.x3322.net:8001/rtp/239.77.0.4:5146
广东新闻(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.173:5146
广东民生(1024x576),http://6f155.x3322.net:8001/rtp/239.77.0.5:5146
广东民生(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.225:5146
广东体育(1024x576),http://6f155.x3322.net:8001/rtp/239.77.0.6:5146
广东体育(深圳)(785x576),http://6f155.x3322.net:8001/rtp/239.77.1.97:5146
广东体育(1920x1080)-测试,http://6f155.x3322.net:8001/rtp/239.77.0.112:5146
广东体育超清(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.168:5146
经济科教(1024x576),http://6f155.x3322.net:8001/rtp/239.77.0.8:5146
经济科教(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.85:5146
经济科教超清(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.167:5146
大湾区卫视(1024x576),http://6f155.x3322.net:8001/rtp/239.77.0.9:5146
大湾区卫视(785x576),http://6f155.x3322.net:8001/rtp/239.77.1.12:5146
大湾区卫视(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.215:5146
广东影视(1024x576),http://6f155.x3322.net:8001/rtp/239.77.0.11:5146
广东影视(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.217:5146
广东少儿(1024x576),http://6f155.x3322.net:8001/rtp/239.77.0.12:5146
广东少儿(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.250:5146
嘉佳卡通(1024x576),http://6f155.x3322.net:8001/rtp/239.77.0.13:5146
嘉佳卡通(785x576),http://6f155.x3322.net:8001/rtp/239.77.1.15:5146
嘉佳卡通(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.179:5146
南方购物-精选(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.19:5146
南方购物(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.0.22:5146
岭南戏曲(1024x576),http://6f155.x3322.net:8001/rtp/239.77.0.16:5146
广东移动(1024x576),http://6f155.x3322.net:8001/rtp/239.77.0.20:5146
广东综艺 4K(3840x2160),http://6f155.x3322.net:8001/rtp/239.77.1.237:5146
广东综艺(4k)(3840x2160),http://6f155.x3322.net:8001/rtp/239.77.0.244:5146
广东综艺(4k)(3840x2160),http://6f155.x3322.net:8001/rtp/239.77.0.245:5146
广州综合(1920x1080),http://6f155.x3322.net:8001/rtp/239.253.43.71:5146
广州新闻(1920x1080),http://6f155.x3322.net:8001/rtp/239.253.43.72:5146
广州影视(1920x1080),http://6f155.x3322.net:8001/rtp/239.253.43.73:5146
广州法治(1920x1080),http://6f155.x3322.net:8001/rtp/239.253.43.74:5146
南国都市4K(3840x2160),http://6f155.x3322.net:8001/rtp/239.253.43.99:5146
汕头经济生活(1920x1080),http://6f155.x3322.net:8001/rtp/239.77.1.131:5146
汕头经济生活(1920x1080),http://6f155.x3322.net:8001/rtp/239.253.43.46:5146
地址,thread-8344644-1-6.html
230117电信,#genre#
广州竞赛,http://6f155.x3322.net:8001/rtp/239.253.43.75:5146
深圳卫视,http://6f155.x3322.net:8001/rtp/239.77.1.3:5146
深圳卫视,http://6f155.x3322.net:8001/rtp/239.77.1.148:5146
深圳卫视,http://6f155.x3322.net:8001/rtp/239.77.0.92:5146
深圳卫视,http://6f155.x3322.net:8001/rtp/239.77.0.130:5146
深圳都市频道,http://6f155.x3322.net:8001/rtp/239.77.1.176:5146
深圳都市频道,http://6f155.x3322.net:8001/rtp/239.77.1.124:5146
深圳电视剧频道,http://6f155.x3322.net:8001/rtp/239.77.1.177:5146
深圳电视剧频道,http://6f155.x3322.net:8001/rtp/239.77.1.125:5146
深圳财经生活,http://6f155.x3322.net:8001/rtp/239.77.1.242:5146
深圳娱乐频道,http://6f155.x3322.net:8001/rtp/239.77.1.243:5146
深圳体育健康,http://6f155.x3322.net:8001/rtp/239.77.1.128:5146
深圳体育健康,http://6f155.x3322.net:8001/rtp/239.77.1.140:5146
深圳少儿频道,http://6f155.x3322.net:8001/rtp/239.77.1.244:5146
深圳公共频道,http://6f155.x3322.net:8001/rtp/239.77.1.178:5146
深圳公共频道,http://6f155.x3322.net:8001/rtp/239.77.1.126:5146
深圳宝安频道,http://6f155.x3322.net:8001/rtp/239.77.1.67:5146
深圳龙岗频道,http://6f155.x3322.net:8001/rtp/239.77.1.223:5146
深圳东部频道,http://6f155.x3322.net:8001/rtp/239.77.1.224:5146
深圳众创TV,http://6f155.x3322.net:8001/rtp/239.77.1.247:5146
深圳宜和购物,http://6f155.x3322.net:8001/rtp/239.77.1.87:5146
东莞新闻综合,http://6f155.x3322.net:8001/rtp/239.253.43.104:5146
东莞生活资讯,http://6f155.x3322.net:8001/rtp/239.253.43.105:5146
韶关新闻综合,http://6f155.x3322.net:8001/rtp/239.77.0.117:5146
韶关绿色生活,http://6f155.x3322.net:8001/rtp/239.77.0.119:5146
湛江新闻综合,http://6f155.x3322.net:8001/rtp/239.77.0.141:5146
湛江公共,http://6f155.x3322.net:8001/rtp/239.77.0.140:5146
揭阳综合,http://6f155.x3322.net:8001/rtp/239.77.0.229:5146
揭阳公共,http://6f155.x3322.net:8001/rtp/239.77.0.251:5146
